Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
21354707,09/03/2011 12:00 AM,09/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002,131 CHRYSTIE STREET,CHRYSTIE STREET,BROOME STREET,DELANCEY STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/03/2011 12:00 AM,03 MANHATTAN,MANHATTAN,986130,201362,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71936870099545,-73.99321789983325,"(40.71936870099545, -73.99321789983325)"
21359750,09/03/2011 12:00 AM,09/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10003,85 EAST 4 STREET,EAST 4 STREET,BOWERY,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,09/03/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987054,203920,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.726389547433385,-73.98988350404746,"(40.726389547433385, -73.98988350404746)"
21360332,09/03/2011 12:00 AM,09/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/03/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
21350779,09/02/2011 12:00 AM,09/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/02/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
21350777,09/02/2011 12:00 AM,09/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/02/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
21350773,09/02/2011 12:00 AM,09/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/02/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
21337632,09/01/2011 12:00 AM,09/01/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,465 EAST 10 STREET,EAST 10 STREET,BEND,F D R DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,,09/01/2011 12:00 AM,03 MANHATTAN,MANHATTAN,991418,203258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72457005850578,-73.97413942080235,"(40.72457005850578, -73.97413942080235)"
21268580,09/01/2011 12:00 AM,09/01/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10013,65 BAYARD STREET,BAYARD STREET,ELIZABETH STREET,MOTT STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/01/2011 12:00 AM,03 MANHATTAN,MANHATTAN,984782,199944,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71547681498506,-73.99808092201812,"(40.71547681498506, -73.99808092201812)"
21338858,09/01/2011 12:00 AM,09/01/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,465 EAST 10 STREET,EAST 10 STREET,BEND,F D R DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,,09/01/2011 12:00 AM,03 MANHATTAN,MANHATTAN,991418,203258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72457005850578,-73.97413942080235,"(40.72457005850578, -73.97413942080235)"
21343968,09/01/2011 12:00 AM,09/01/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,465 EAST 10 STREET,EAST 10 STREET,BEND,F D R DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,,09/01/2011 12:00 AM,03 MANHATTAN,MANHATTAN,991418,203258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72457005850578,-73.97413942080235,"(40.72457005850578, -73.97413942080235)"
